nct,titulo,ciudad_en_la_muestra,sitios_chile,url_clinicaltrials
NCT03725475,A Study to Reveal the Patient Characteristics and Treatment Patterns of Stage III Non-small-cell Lung Cancer Patients,Santiago,1,https://clinicaltrials.gov/study/NCT03725475
NCT03732677,Durvalumab+ Gemcitabine/Cisplatin (Neoadjuvant Treatment) and Durvalumab (Adjuvant Treatment) in Patients With MIBC,Antofagasta (+5 sitios),6,https://clinicaltrials.gov/study/NCT03732677
NCT03732820,Study on Olaparib Plus Abiraterone as First-line Therapy in Men With Metastatic Castration-resistant Prostate Cancer,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT03732820
NCT03778229,Osimertinib Plus Savolitinib in EGFRm+/MET+ NSCLC Following Prior Osimertinib,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT03778229
NCT03798626,"Gevokizumab With Standard of Care Anti-cancer Therapies for Metastatic Colorectal, Gastroesophageal, and Renal Cancers",Santiago,1,https://clinicaltrials.gov/study/NCT03798626
NCT03800134,A Study of Neoadjuvant/Adjuvant Durvalumab for the Treatment of Patients With Resectable Non-small Cell Lung Cancer,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT03800134
NCT03830866,Study of Durvalumab With Chemoradiotherapy for Women With Locally Advanced Cervical Cancer (CALLA),Antofagasta (+6 sitios),7,https://clinicaltrials.gov/study/NCT03830866
NCT03873402,A Study of Nivolumab Combined With Ipilimumab Versus Nivolumab Alone in Participants With Advanced Kidney Cancer,Independencia (+4 sitios),5,https://clinicaltrials.gov/study/NCT03873402
NCT03930953,"A Safety and Preliminary Efficacy Study of CC-99282, Alone and in Combination With Anti-lymphoma Agents in Participants With Relapsed or Refractory Non-Hodgkin ",Recoleta (+4 sitios),5,https://clinicaltrials.gov/study/NCT03930953
NCT03980314,A Study to Compare Nivolumab Drug Product Process D to Nivolumab Drug Product Process C in Participants With Stage IIIa/b/c/d or Stage IV Melanoma After Complet,Independencia (+3 sitios),4,https://clinicaltrials.gov/study/NCT03980314
NCT04008030,"A Study of Nivolumab, Nivolumab Plus Ipilimumab, or Investigator's Choice Chemotherapy for the Treatment of Participants With Deficient Mismatch Repair (dMMR)/M",Independencia (+2 sitios),3,https://clinicaltrials.gov/study/NCT04008030
NCT04026412,A Study of Nivolumab and Ipilimumab in Untreated Participants With Stage 3 Non-small Cell Lung Cancer (NSCLC) That is Unable or Not Planned to be Removed by Sur,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT04026412
NCT04035486,A Study of Osimertinib With or Without Chemotherapy as 1st Line Treatment in Patients With Mutated Epidermal Growth Factor Receptor Non-Small Cell Lung Cancer (,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT04035486
NCT04039607,A Study of Nivolumab in Combination With Ipilimumab in Participants With Advanced Hepatocellular Carcinoma,La Serena (+7 sitios),8,https://clinicaltrials.gov/study/NCT04039607
NCT04078152,Durvalumab Long-Term Safety and Efficacy Study,Santiago,1,https://clinicaltrials.gov/study/NCT04078152
NCT04100018,A Study of Nivolumab or Placebo in Combination With Docetaxel in Men With Advanced Castration-resistant Prostate Cancer,Providencia (+4 sitios),5,https://clinicaltrials.gov/study/NCT04100018
NCT04109066,"Study of Nivolumab Versus Placebo in Combination With Neoadjuvant Chemotherapy and Adjuvant Endocrine Therapy in Participants With High-risk, Estrogen Receptor-",Antofagasta (+5 sitios),6,https://clinicaltrials.gov/study/NCT04109066
NCT04109391,Extension Study to Provide Adjuvant Treatment Following Neoadjuvant Treatment and Surgical Resection in Protocol TX05-03,Temuco (+1 sitios),2,https://clinicaltrials.gov/study/NCT04109391
NCT04149574,A Study Comparing the Efficacy and Safety of Nivolumab in Combination With Bacillus Calmette-Guerin (BCG) Versus BCG Alone in Participants With High-Risk Non-Mu,La Serena (+2 sitios),3,https://clinicaltrials.gov/study/NCT04149574
NCT04154956,"SAR408701 Versus Docetaxel in Previously Treated, Carcinoembryonic Antigen-related Cell Adhesion Molecule 5 (CEACAM5) Positive Metastatic Non-squamous Non-small",Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT04154956
NCT04266301,"Study of Efficacy and Safety of MBG453 in Combination With Azacitidine in Subjects With Intermediate, High or Very High Risk Myelodysplastic Syndrome (MDS) as P",Viña del Mar,1,https://clinicaltrials.gov/study/NCT04266301
NCT04351555,A Study of Osimertinib With or Without Chemotherapy Versus Chemotherapy Alone as Neoadjuvant Therapy for Patients With EGFRm Positive Resectable Non-Small Cell ,Las Condes (+2 sitios),3,https://clinicaltrials.gov/study/NCT04351555
NCT04475939,Placebo-controlled Study Comparing Niraparib Plus Pembrolizumab Versus Placebo Plus Pembrolizumab as Maintenance Therapy in Participants With Advanced/Metastati,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04475939
NCT04478266,Amcenestrant (SAR439859) Plus Palbociclib as First Line Therapy for Patients With ER (+) HER2(-) Advanced Breast Cancer,La Serena (+8 sitios),9,https://clinicaltrials.gov/study/NCT04478266
NCT04493853,Capivasertib+Abiraterone as Treatment for Patients With Metastatic Hormone-sensitive Prostate Cancer and PTEN Deficiency,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT04493853
NCT04524689,Tusamitamab Ravtansine (SAR408701) in Combination With Pembrolizumab and Tusamitamab Ravtansine (SAR408701) in Combination With Pembrolizumab and Platinum-based,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT04524689
NCT04567615,A Study of Relatlimab in Combination With Nivolumab in Participants With Advanced Liver Cancer Who Have Never Been Treated With Immuno-oncology Therapy After Pr,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04567615
NCT04581824,Efficacy Comparison of Dostarlimab Plus Chemotherapy Versus Pembrolizumab Plus Chemotherapy in Participants With Metastatic Non-squamous Non-small Cell Lung Can,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT04581824
NCT04613596,Phase 2 Trial of Adagrasib Monotherapy and in Combination With Pembrolizumab and a Phase 3 Trial of Adagrasib in Combination in Patients With a KRAS G12C Mutati,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04613596
NCT04623775,A Study of Relatlimab Plus Nivolumab in Combination With Chemotherapy vs. Nivolumab in Combination With Chemotherapy as First Line Treatment for Participants Wi,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04623775
NCT04659603,Tusamitamab Ravtansine Monotherapy and in Combination in Patients With CEACAM5-positive Advanced Solid Tumors,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04659603
NCT04711252,A Comparative Study of AZD9833 Plus Palbociclib Versus Anastrozole Plus Palbociclib in Patients With ER-Positive HER2 Negative Breast Cancer Who Have Not Receiv,Concepción (+3 sitios),4,https://clinicaltrials.gov/study/NCT04711252
NCT04742192,"Non-interventional, Prospective Study to Determine Prevalence of EGFR Mutations in Non-small Cell Lung Cancer",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT04742192
NCT04810078,A Study of Subcutaneous Nivolumab Versus Intravenous Nivolumab in Participants With Previously Treated Clear Cell Renal Cell Carcinoma That is Advanced or Has S,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT04810078
NCT04884360,D9319C00001- 1L OC Mono Global RCT,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT04884360
NCT04913220,A Study of SAR444245 Combined With Cemiplimab for the Treatment of Participants With Various Advanced Skin Cancers (Pegathor Skin 201),Antofagasta (+5 sitios),6,https://clinicaltrials.gov/study/NCT04913220
NCT04914897,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With Lung Cancer or Mesothelioma (Pegathor Lung 202),Santaigo (+4 sitios),5,https://clinicaltrials.gov/study/NCT04914897
NCT04915755,Efficacy and Safety Comparison of Niraparib to Placebo in Participants With Human Epidermal Growth Factor 2 Negative (HER2-) Breast Cancer Susceptibility Gene M,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04915755
NCT04943900,A Study of BMS-986416 With and Without Nivolumab in Select Solid Tumors,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT04943900
NCT04960709,"Treatment Combination of Durvalumab, Tremelimumab and Enfortumab Vedotin or Durvalumab and Enfortumab Vedotin in Patients With Muscle Invasive Bladder Cancer In",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT04960709
NCT04964908,"Study to Understand Clinical Characteristics, Treatment Pathway in Chronic Lymphocytic Leukemia",Providencia,1,https://clinicaltrials.gov/study/NCT04964908
NCT05002569,A Study to Assess Adjuvant Immunotherapy With Nivolumab Plus Relatlimab Versus Nivolumab Alone After Complete Resection of Stage III-IV Melanoma,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT05002569
NCT05005273,A Study to Assess BMS-986207 in Combination With Nivolumab and Ipilimumab as First-line Treatment for Participants With Stage IV Non-Small Cell Lung Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT05005273
NCT05043090,"Savolitinib Plus Durvalumab Versus Sunitinib and Durvalumab Monotherapy in MET-Driven, Unresectable and Locally Advanced or Metastatic PRCC",Providencia (+3 sitios),4,https://clinicaltrials.gov/study/NCT05043090
NCT05091437,DOuBLED - Doubling Outcomes by Lung Cancer Early Diagnosis,Antofagasta (+1 sitios),2,https://clinicaltrials.gov/study/NCT05091437
NCT05104567,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With Gastrointestinal Cancer (Master Protocol) (Pegathor Gastroi,Santiago,1,https://clinicaltrials.gov/study/NCT05104567
NCT05128773,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromata",Santiago,1,https://clinicaltrials.gov/study/NCT05128773
NCT05179603,A Study of SAR444245 With or Without Other Anticancer Therapies for the Treatment of Adults and Adolescents With Relapsed or Refractory B Cell Lymphoma (Master ,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT05179603
NCT05211895,A Global Study to Assess the Effects of Durvalumab + Domvanalimab Following Concurrent Chemoradiation in Participants With Stage III Unresectable NSCLC,Las Condes (+6 sitios),7,https://clinicaltrials.gov/study/NCT05211895
NCT05261399,Savolitinib Plus Osimertinib Versus Platinum-based Doublet Chemotherapy in Participants With Non-Small Cell Lung Cancer Who Have Progressed on Osimertinib Treat,Santiago,1,https://clinicaltrials.gov/study/NCT05261399
NCT05328908,A Study of Nivolumab-relatlimab Fixed-dose Combination Versus Regorafenib or TAS-102 in Participants With Later-lines of Metastatic Colorectal Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT05328908
NCT05329766,A Safety and Efficacy Study of Treatment Combinations With and Without Chemotherapy in Adult Participants With Advanced Upper Gastrointestinal Tract Malignancie,Las Condes (+3 sitios),4,https://clinicaltrials.gov/study/NCT05329766
NCT05348577,Study of Capivasertib + Docetaxel vs Placebo + Docetaxel as Treatment for Metastatic Castration Resistant Prostate Cancer (mCRPC),Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT05348577
NCT05405166,SC Versus IV Isatuximab in Combination With Pomalidomide and Dexamethasone in RRMM,Santiago (+5 sitios),6,https://clinicaltrials.gov/study/NCT05405166
NCT05519085,"A Study to Evaluate Mezigdomide, Bortezomib and Dexamethasone (MEZIVd) Versus Pomalidomide, Bortezomib and Dexamethasone (PVd) in Participants With Relapsed or ",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT05519085
NCT05568095,"A Clinical Trial of a New Combination Treatment, Domvanalimab and Zimberelimab, Plus Chemotherapy, for People With an Upper Gastrointestinal Tract Cancer That C",La Florida (+5 sitios),6,https://clinicaltrials.gov/study/NCT05568095
NCT05577715,A Study of MORAb-202 in Participants With Previously Treated Metastatic Non-Small Cell Lung Cancer (NSCLC) Adenocarcinoma (AC),Independencia (+3 sitios),4,https://clinicaltrials.gov/study/NCT05577715
NCT05613088,"A Study of MORAb-202 Versus Investigator's Choice Chemotherapy in Female Participants With Platinum-resistant High-grade Serous (HGS) Ovarian, Primary Peritonea",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT05613088
NCT05625399,A Study of Subcutaneous Nivolumab + Relatlimab Fixed-dose Combination (FDC) in Previously Untreated Metastatic or Unresectable Melanoma,Port Montt (+8 sitios),9,https://clinicaltrials.gov/study/NCT05625399
NCT05669989,International Treatment-extension Study in Adult Participants With Multiple Myeloma and Who Have Derived Clinical Benefit From Isatuximab,Temuco,1,https://clinicaltrials.gov/study/NCT05669989
NCT05774951,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,Concepción (+8 sitios),9,https://clinicaltrials.gov/study/NCT05774951
NCT05952557,An Adjuvant Endocrine-based Therapy Study of Camizestrant (AZD9833) in ER+/HER2- Early Breast Cancer (CAMBRIA-2),Concepción (+8 sitios),9,https://clinicaltrials.gov/study/NCT05952557
NCT06090539,A Study to Assess BMS-986458 Alone and in Combination With Anti-lymphoma Agents in Relapsed/Refractory Non-Hodgkin Lymphomas,Antofagasta (+2 sitios),3,https://clinicaltrials.gov/study/NCT06090539
NCT06101134,A Study to Evaluate Whether Participants With Melanoma Prefer Subcutaneous vs Intravenous Administration of Nivolumab and Nivolumab + Relatlimab Fixed-dose Comb,Concepción (+1 sitios),2,https://clinicaltrials.gov/study/NCT06101134
NCT06120491,Saruparib (AZD5305) vs Placebo in Men With Metastatic Castration-Sensitive Prostate Cancer Receiving Physician's Choice New Hormonal Agents,Concepción (+7 sitios),8,https://clinicaltrials.gov/study/NCT06120491
NCT06232707,A Study to Evaluate Efficacy and Safety of Alnuctamab Compared to Standard of Care Regimens in Participants With Relapsed or Refractory Multiple Myeloma (RRMM),Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT06232707
NCT06356129,Study to Compare the Effectiveness and Safety of Golcadomide Plus R-CHOP vs Placebo Plus R-CHOP in Participants With Previously Untreated High-risk Large B-cell,Santiago (+5 sitios),6,https://clinicaltrials.gov/study/NCT06356129
NCT06380751,"Saruparib (AZD5305) Plus Camizestrant or Plus Endocrine Therapy, Compared With CDK4/6 Inhibitor Plus Endocrine Therapy or Plus Camizestrant in HR-Positive, HER2",Providencia (+4 sitios),5,https://clinicaltrials.gov/study/NCT06380751
NCT06425302,A Study to Evaluate the Efficacy and Safety of Golcadomide in Combination With Rituximab in Participants With Newly Diagnosed Advanced Stage Follicular Lymphoma,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT06425302
NCT06646276,A Study to Compare the Efficacy and Safety of BMS-986489 (BMS-986012+ Nivolumab Fixed Dose Combination) in Combination With Carboplatin Plus Etoposide to That o,Santiago (+4 sitios),5,https://clinicaltrials.gov/study/NCT06646276
NCT06764485,A Study to Compare the Efficacy and Safety of BMS-986365 Versus the Investigator's Choice of Therapy in Participants With Metastatic Castration-resistant Prosta,Santiago (+3 sitios),4,https://clinicaltrials.gov/study/NCT06764485
NCT06764875,A Phase Ⅲ Study of Rilvegostomig in Combination With Fluoropyrimidine and Trastuzumab Deruxtecan as the First-line Treatment for HER2-positive Gastric Cancer,Port Montt (+6 sitios),7,https://clinicaltrials.gov/study/NCT06764875
NCT06767462,An Ophthalmic Safety Study in Patients With Breast Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT06767462
NCT06868277,A Global Phase III Study of Rilvegostomig or Pembrolizumab Monotherapy for First-Line Treatment of PD-L1-high Metastatic Non-small Cell Lung Cancer,Conception (+3 sitios),4,https://clinicaltrials.gov/study/NCT06868277
NCT06901531,A Study of Zolbetuximab Together With Pembrolizumab and Chemotherapy in Adults With Gastric Cancer,Las Condes (+1 sitios),2,https://clinicaltrials.gov/study/NCT06901531
NCT06911502,A Study to Compare the Efficacy and Safety of Golcadomide in Combination With Rituximab (Golca + R) vs Investigator's Choice in Participants With Relapsed/Refra,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT06911502
NCT06946797,A Study to Evaluate Two Dosing Regimens of Subcutaneous Nivolumab in Combination With Intravenous Ipilimumab and Chemotherapy in Participants With Previously Un,Santiago,1,https://clinicaltrials.gov/study/NCT06946797
NCT06952803,A Study of Metastases Free Survival With Saruparib vs Placebo Added to a Standard RT/ADT in Men With High-risk Prostate Cancer With a BRCA Mutation,Concepción (+2 sitios),3,https://clinicaltrials.gov/study/NCT06952803
NCT07063745,A Study to Compare the Combination of Navlimetostat (BMS-986504) With Pembrolizumab and Chemotherapy Versus Placebo Plus Pembrolizumab and Chemotherapy in First,Antofagasta (+3 sitios),4,https://clinicaltrials.gov/study/NCT07063745
NCT07100080,Study of Izalontamab Brengitecan (BMS-986507) Versus Platinum-Pemetrexed for EGFR-mutated Non-small Cell Lung Cancer After Failure of EGFR TKI Therapy (IZABRIGH,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT07100080
NCT07218809,AZD5335 vs. Mirvetuximab Soravtansine in FRα-high and AZD5335 vs. Chemotherapy in FRα-low Platinum-resistant Ovarian Cancer,Port Montt (+8 sitios),9,https://clinicaltrials.gov/study/NCT07218809
NCT07221149,A Study to Evaluate the Safety and Efficacy of Pumitamig in Combination With Chemotherapy Versus Nivolumab in Combination With Chemotherapy in Participants With,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT07221149
NCT07221357,A Study to Evaluate the Safety and Efficacy of Pumitamig in Combination With Chemotherapy Versus Bevacizumab in Combination With Chemotherapy in Participants Wi,Recoleta (+2 sitios),3,https://clinicaltrials.gov/study/NCT07221357
NCT07476326,"Pharmacokinetics, Safety, and Immunogenicity Comparison of Bmab1700 and Opdivo® as Adjuvant Monotherapy in Participants With Melanoma",Providencia (+3 sitios),4,https://clinicaltrials.gov/study/NCT07476326
NCT07680764,"A Study To Assess the Safety, Tolerability, and Efficacy of Imzokitug in Combination With Pumitamig and Platinum-Doublet Chemotherapy (PDCT) Versus Pumitamig an",Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT07680764
